1,"japan, rock"
2,"electro, emo, dark, rock"
3,"metal, black"
4,"metal, japan, rock"
5,"dark, rock"
6,"dark, rock, black, metal"
7,"dark, metal, 90, christ, soundtrack, 0, rap, alternative, pop, male, american, love, emo, sexy, rock"
8,"metal, rock, japan, dark"
9,"dark, christ, ebm, dance, techno, electro"
10,"electro, metal, ebm, dark"
11,"electro, dark, ebm"
12,"metal, black"
13,"electro, dark, ebm"
14,"dark, ebm"
15,"dark, black, metal"
16,"electro, dark, sexy, rock"
17,"dark, ebm"
18,"dark, ebm, pop, electro, rock"
19,"electro, dark, ebm"
20,"metal, black"
21,nan
22,"electro, ebm"
23,"electro, metal, black"
24,"electro, ebm"
25,"gay, metal, black"
26,"electro, dark, ebm"
27,"electro, ebm"
28,"metal, black"
29,"electro, dark, ebm"
30,"disco, dark, metal, ebm, 90, dance, alternative, pop, electro, love, 80, sexy"
31,"dark, ebm"
32,"dark, ebm, pop, black, electro, 80"
33,dark
34,"electro, pop, ebm"
35,nan
36,"metal, ebm, dance, electro, rock"
37,"dark, ebm"
38,"dark, ebm, black"
39,"electro, dark, dance"
40,"dance, girl, indie, alternative, electro, american, love"
41,"dark, ebm"
42,nan
43,"electro, ebm"
44,"dark, ebm"
45,"metal, dance, alternative, electro, punk, rock"
46,"classic, christ, 10, girl"
47,"metal, dark, black"
48,black
49,"electro, dark, ebm"
50,"metal, ebm"
51,"90, alternative, 80, classic, rock, 10, girl, electro, emo, dance, pop, punk, love, acoustic, disco, soundtrack, 0, indie, blue, 198, british, sexy"
52,"hop, soundtrack, dance, pop, electro, male, sexy, relax"
53,"dark, 90, soundtrack, hop, dance, classic, indie, alternative, jazz, pop, 80, gay, electro, piano, love, emo, sexy, relax"
54,"90, hop, 0, indie, alternative, pop, electro, male, sexy, relax, rock"
55,"rnb, 90, hop, alternative, male, 80, classic, rock, dark, 10, girl, techno, electro, gay, emo, dance, pop, boy, love, disco, 0, indie, 198, british, sexy"
56,"disco, 90, soundtrack, 10, 0, 70, dance, alternative, pop, techno, electro, 40, bass, punk, male, love, 80, classic"
57,"hop, soundtrack, jazz, electro, love"
58,"disco, hop, 10, dance, 0, indie, alternative, pop, electro, british, male, folk, love, sexy, relax, rock, acoustic"
59,"band, 90, soundtrack, 0, dance, indie, alternative, pop, techno, electro, 198, british, punk, male, love, 80, rock, acoustic"
60,nan
61,"band, girl, dance, pop, electro, 198, british, 80, rock"
62,"blue, alternative, pop, 198, british, 80, rock"
63,"90, blue, alternative, electro, sexy, relax, deutsch"
64,"hop, soundtrack, 0, rap, indie, dance, pop, electro, male, love, sexy, relax"
65,"metal, 90, alternative, male, classic, rock, 10, electro, piano, emo, pop, bass, love, relax, acoustic, band, soundtrack, 0, indie, british, folk, sexy"
66,"hop, 90, 0, dance, alternative, pop, electro, male"
67,"rnb, metal, hop, 90, christ, alternative, male, american, 80, classic, rock, dark, 10, girl, techno, electro, piano, emo, dance, pop, bass, love, boy, relax, acoustic, disco, soundtrack, 0, rap, indie, jazz, 40, 198, folk, sexy, guitar"
68,"dance, pop, electro, 198, 80, classic, rock"
69,"rnb, classic, 90, blue, alternative, jazz, pop, emo, british, male, piano, 80, sexy"
70,"90, hop, alternative, male, american, 80, classic, rock, techno, electro, piano, dance, pop, punk, love, relax, acoustic, soundtrack, indie, blue, jazz, sexy"
71,"90, 10, hop, indie, alternative, pop, electro, british, male, folk, piano, love, sexy, relax, rock, acoustic"
72,"metal, hop, 90, alternative, black, male, 80, classic, rock, dark, 10, girl, techno, electro, piano, emo, dance, pop, punk, love, relax, acoustic, band, disco, idm, soundtrack, 0, indie, jazz, 198, british, folk, sexy"
73,"hop, alternative, jazz, electro, male, relax"
74,male
75,"disco, 90, alternative, pop, electro, 80"
76,"disco, 90, soundtrack, dance, alternative, electro, piano, boy"
77,"christ, 90, 0, dance, pop, gay, british, male, piano, love, 80, sexy, rock, acoustic"
78,"alternative, 80"
79,"198, 80, pop"
80,"disco, 10, hop, 0, dance, black, electro, british, male, piano"
81,"dark, idm, 90, soundtrack, 10, 0, dance, indie, alternative, jazz, pop, hop, electro, british, male, love, sexy, rock"
82,"disco, 90, 0, dance, alternative, pop, electro, 198, punk, british, 80, classic"
83,"band, 80, pop, rock"
84,"dance, 0, indie, alternative, pop, electro, male, love"
85,"soundtrack, dance, pop, gay, 198, british, love, 80"
86,"dance, 0, blue, indie, jazz, pop, male, folk, love, acoustic"
87,"80, classic, pop, girl"
88,"country, hop, 10, 0, dance, indie, alternative, pop, electro, british, love, boy, sexy, rock"
89,"rnb, metal, hop, alternative, black, male, american, 80, classic, rock, dark, 10, girl, techno, electro, gay, piano, emo, dance, pop, korea, love, boy, acoustic, disco, soundtrack, 0, rap, sexy, hip"
90,"hop, dance, alternative, electro, bass, british"
91,"band, dance, alternative, pop, electro, 198, british, male, 80, rock"
92,"80, pop"
93,"electro, 198, pop, 90"
94,"jazz, hop, dance"
95,"90, dance, blue, alternative, pop, british, male, 80, classic, rock, acoustic"
96,"60, 70, blue, pop, british, male, 80, classic, rock"
97,"rnb, 0, dance, indie, jazz, pop, british, male, love, emo"
98,"dance, pop, techno, electro, 198, punk, british, 80"
99,"band, sexy, 90, 10, soundtrack, dance, indie, alternative, pop, 198, piano, love, 80, classic, rock"
100,"band, pop, 198, british, love, 80"
101,"idm, hop, bass, male, folk, classic"
102,electro
103,"piano, love, classic"
104,electro
105,nan
106,nan
107,"electro, idm"
108,"idm, male"
109,nan
110,nan
111,nan
112,nan
113,piano
114,nan
115,nan
116,nan
117,nan
118,nan
119,nan
120,idm
121,"electro, idm, hop"
122,nan
123,nan
124,nan
125,nan
126,"disco, idm, 90, hop, dance, indie, pop, electro, male, rock, deutsch"
127,nan
128,nan
129,nan
130,nan
131,nan
132,"piano, idm, classic"
133,nan
134,nan
135,nan
136,nan
137,"electro, idm, hop"
138,"piano, classic"
139,nan
140,electro
141,electro
142,idm
143,electro
144,nan
145,nan
146,"electro, jazz"
147,nan
148,rock
149,nan
150,nan
151,"rap, relax, electro"
152,"metal, alternative, gay, british, male, rock"
153,"ebm, dance, alternative, pop, electro, 80"
154,"metal, hop, 90, alternative, male, 80, classic, rock, dark, electro, piano, emo, dance, pop, bass, punk, love, relax, acoustic, disco, band, idm, soundtrack, 0, rap, indie, jazz, british, guitar"
155,"90, alternative, male, 80, rock, girl, gay, emo, dance, pop, punk, love, boy, acoustic, soundtrack, 0, indie, swing, british, sexy"
156,"electro, indie, alternative, rock"
